PLAYER_NAME,score,GP,contract,fpg,fpgsd,variance,value
Donovan Mitchell,345.0,7,3635760.0,49.3,1790.57,11.41,35.81
Luka Doncic,333.8,6,7683360.0,55.6,2451.44,15.622,31.76
Jayson Tatum,831.5,17,7830000.0,48.9,1751.29,11.16,15.91
Jamal Murray,822.4,19,4444746.0,43.3,1234.97,7.87,13.93
Bam Adebayo,757.2,19,3454080.0,39.9,952.09,6.067,10.66
Giannis Antetokounmpo,477.3,9,25842697.0,53.0,2169.08,13.822,7.39
Kawhi Leonard,710.2,13,32742000.0,54.6,2341.24,14.919,6.8
LeBron James,1175.2,21,37436858.0,56.0,2496.08,15.906,6.76
Anthony Davis,1051.3,21,27093019.0,50.1,1870.09,11.917,5.24
Pascal Siakam,375.6,11,2351839.0,34.1,522.89,3.332,4.72
Fred VanVleet,440.6,11,9000000.0,40.1,968.09,6.169,4.23
James Harden,612.4,12,37800000.0,51.0,1961.08,12.497,4.13
Jaylen Brown,644.9,17,6534829.0,37.9,796.49,5.076,3.94
Nikola Jokic,894.9,19,26573595.0,47.1,1578.49,10.059,3.81
Jimmy Butler,926.7,21,32742000.0,44.1,1304.89,8.315,2.11
Chris Paul,285.9,7,38506482.0,40.8,1024.72,6.53,1.11
Shai Gilgeous-Alexander,216.9,7,3952920.0,31.0,321.08,2.046,1.06
Kyle Lowry,430.4,11,33296296.0,39.1,888.89,5.664,0.96
Khris Middleton,380.8,10,30603448.0,38.1,811.69,5.172,0.87
Rudy Gobert,259.0,7,25008427.0,37.0,729.08,4.646,0.86
Paul George,469.3,13,33005556.0,36.1,663.29,4.227,0.54
Russell Westbrook,277.7,8,38178000.0,34.7,564.17,3.595,0.34
Kemba Walker,579.8,17,32742000.0,34.1,522.89,3.332,0.34
Goran Dragic,537.3,17,19217900.0,31.6,358.64,2.285,0.27
Marcus Smart,511.8,17,12553471.0,30.1,266.09,1.696,0.23
Robert Covington,347.0,12,11301219.0,28.9,195.29,1.244,0.14
Brook Lopez,288.5,10,12093024.0,28.8,189.52,1.208,0.12
Eric Bledsoe,261.7,9,15625000.0,29.1,206.89,1.318,0.11
Tyler Herro,566.9,21,3640200.0,27.0,89.08,0.568,0.09
Serge Ibaka,320.5,11,23271604.0,29.1,206.89,1.318,0.07
Rajon Rondo,421.3,16,2564753.0,26.3,51.77,0.33,0.04
Eric Gordon,327.4,12,14057730.0,27.3,105.37,0.671,0.03
Steven Adams,183.7,7,25842697.0,26.2,46.52,0.296,0.0
OG Anunoby,281.7,11,2281800.0,25.6,15.44,0.098,0.0
Dorian Finney-Smith,151.3,6,4000000.0,25.2,-4.88,-0.031,-0.0
Jordan Clarkson,179.3,7,13437500.0,25.6,15.44,0.098,0.0
Jae Crowder,513.9,21,7815533.0,24.5,-39.67,-0.253,-0.01
Lou Williams,312.7,13,8000000.0,24.1,-59.11,-0.377,-0.02
Danilo Gallinari,164.1,7,22615559.0,23.4,-92.36,-0.589,-0.02
Daniel Theis,400.7,17,5000000.0,23.6,-82.96,-0.529,-0.06
Joe Ingles,153.3,7,11954546.0,21.9,-160.31,-1.022,-0.09
